Tracks x Players,Demitri,Pat,Chris,Joe,Shane,Mike,Kevin,Matt,Jason,Karla,Callum,John,Danny
Luigi Circuit,35,43,44,16,0,12,31,0,0,3,0,0,0
Moo Moo Meadows,107,119,110,27,2,26,109,1,1,6,1,1,0
Mushroom Gorge,121,127,119,36,3,42,119,0,0,6,1,1,0
Toad's Factory,136,143,140,34,2,36,132,0,0,6,0,1,0
Mario Circuit,27,33,34,13,0,8,29,0,0,0,1,0,0
Coconut Mall,116,116,122,28,3,22,119,1,0,7,0,0,0
DK Summit,157,164,162,41,2,34,150,0,0,7,0,1,0
Wario's Gold Mine,65,76,71,20,0,19,69,0,0,3,0,0,0
Daisy Circuit,111,119,116,26,2,25,118,1,0,6,1,1,0
Koopa Cape,136,141,135,35,3,26,131,1,0,9,0,1,0
Maple Treeway,171,178,164,41,1,29,164,0,1,8,0,1,0
Grumble Volcano,123,122,127,21,2,32,122,0,0,3,0,1,0
Dry Dry Ruins,78,90,86,23,2,23,82,1,0,4,1,1,0
Moonview Highway,43,48,47,18,0,21,43,0,0,3,0,0,0
Bowser's Castle,152,157,147,38,0,22,150,0,1,7,0,1,0
Rainbow Road,141,146,141,33,3,25,136,0,0,2,0,0,0
GCN Peach Beach,82,81,71,25,0,21,66,0,0,2,1,0,0
DS Yoshi Falls,26,32,36,15,1,12,26,0,0,2,0,0,0
SNES Ghost Valley 2,75,85,78,13,0,21,79,0,0,3,0,0,0
N64 Mario Raceway,163,176,173,39,3,36,160,1,0,8,1,1,0
N64 Sherbet Land,97,100,105,29,1,19,89,0,0,4,0,0,0
GBA Shy Guy Beach,27,38,37,21,0,7,30,0,0,1,0,0,0
DS Delfino Square,165,166,161,34,2,36,158,1,0,8,0,1,0
GCN Waluigi Stadium,117,130,127,27,2,29,126,0,0,6,1,1,0
DS Desert Hills,74,77,74,16,0,17,71,0,0,4,0,0,0
GBA Bowser's Castle 3,166,167,157,36,1,37,156,0,0,5,0,1,0
N64 DK's Jungle Parkway,120,125,125,22,2,24,124,1,0,7,0,0,0
GCN Mario Circuit,100,113,104,22,1,27,112,0,0,2,0,1,0
SNES Mario Circuit 3,99,112,100,21,1,29,97,0,0,2,0,0,0
DS Peach Gardens,112,121,110,32,0,24,118,0,0,5,0,0,0
GCN DK Mountain,78,90,82,17,0,23,82,0,0,4,0,1,0
N64 Bowser's Castle,149,152,140,32,0,28,146,0,1,7,0,0,0
Lava Lake,81,84,82,14,0,17,80,0,0,2,0,1,0
Stargaze Summit,2,3,2,0,0,0,3,0,0,0,0,1,0
Envenom Snowstorm,1,1,1,0,0,0,1,0,0,0,0,0,0
Dragon Burial Grounds,2,3,2,0,0,0,3,0,0,0,0,1,0
Bowser Jr.'s Crafty Castle,2,2,1,0,0,0,2,0,0,0,0,0,0
N64 Royal Raceway,2,3,2,0,0,0,3,0,0,0,0,1,0
DS Airstrip Fortress,4,4,4,0,0,0,5,0,0,0,0,1,0
DK Ruins,2,3,2,0,0,0,3,0,0,0,0,1,0
DS Bowser's Castle,0,1,1,0,0,0,1,0,0,0,0,1,0
Wolf Castlegrounds,0,1,1,0,0,0,1,0,0,0,0,1,0
