Tracks x Players,Demitri,Pat,Chris,Joe,Shane,Mike,Kevin,Matt,Jason,Karla,Callum,John,Danny,Henry
Luigi Circuit,2,1,1,0,0,2,0,0,0,0,0,0,1,1
Moo Moo Meadows,7,6,6,3,0,3,0,0,0,0,0,0,2,1
Mushroom Gorge,7,7,6,1,0,5,0,0,0,1,0,0,3,1
Toad's Factory,6,7,6,2,0,5,0,0,0,0,0,0,0,1
Mario Circuit,3,3,2,0,0,3,0,0,0,0,0,0,0,1
Coconut Mall,4,3,3,0,0,4,0,0,0,0,0,0,1,1
DK Summit,8,9,7,3,0,4,0,0,0,1,0,0,2,1
Wario's Gold Mine,5,6,5,3,0,4,0,0,0,0,0,0,0,1
Daisy Circuit,7,6,6,2,0,5,0,0,0,0,0,0,1,1
Koopa Cape,8,7,6,1,0,4,0,0,0,1,0,0,3,1
Maple Treeway,7,8,7,4,0,4,0,0,0,0,0,0,0,1
Grumble Volcano,8,8,7,4,0,3,0,0,0,0,0,0,0,1
Dry Dry Ruins,6,8,6,2,0,5,0,0,0,1,0,0,2,1
Moonview Highway,5,6,5,2,0,4,0,0,0,0,0,0,1,1
Bowser's Castle,9,9,7,3,0,4,0,0,0,1,0,0,1,1
Rainbow Road,7,6,6,3,0,4,0,0,0,0,0,0,1,1
GCN Peach Beach,1,1,0,0,0,1,0,0,0,0,0,0,0,1
DS Yoshi Falls,3,4,3,2,0,3,0,0,0,0,0,0,0,1
SNES Ghost Valley 2,7,6,6,2,0,3,0,0,0,0,0,0,2,1
N64 Mario Raceway,8,9,8,3,0,5,0,0,0,0,0,0,1,1
N64 Sherbet Land,5,6,5,3,0,2,0,0,0,1,0,0,1,1
GBA Shy Guy Beach,2,3,2,2,0,2,0,0,0,0,0,0,0,1
DS Delfino Square,7,9,8,4,0,5,0,0,0,0,0,0,1,1
GCN Waluigi Stadium,8,8,7,4,0,4,0,0,0,0,0,0,0,1
DS Desert Hills,5,6,5,4,0,2,0,0,0,0,0,0,1,1
GBA Bowser's Castle 3,11,11,10,4,0,4,0,0,0,0,0,0,1,1
N64 DK's Jungle Parkway,7,8,6,2,0,4,0,0,0,0,0,0,2,1
GCN Mario Circuit,6,7,5,4,0,3,0,0,0,0,0,0,2,1
SNES Mario Circuit 3,6,7,6,2,0,4,0,0,0,1,0,0,0,1
DS Peach Gardens,3,4,3,2,0,3,0,0,0,0,0,0,0,1
GCN DK Mountain,6,6,5,1,0,2,0,0,0,1,0,0,1,1
N64 Bowser's Castle,6,7,5,3,0,4,0,0,0,0,0,0,2,1
Lava Lake,1,2,2,2,0,1,0,0,0,0,0,0,0,0
Stargaze Summit,0,1,1,1,0,1,0,0,0,0,0,0,0,0
Envenom Snowstorm,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dragon Burial Grounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bowser Jr.'s Crafty Castle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N64 Royal Raceway,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS Airstrip Fortress,1,2,2,1,0,2,0,0,0,0,0,0,0,0
DK Ruins,0,1,1,1,0,1,0,0,0,0,0,0,0,0
DS Bowser's Castle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolf Castlegrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0
