Tracks,Times,Dates
Luigi Circuit,01:10.105,08/29/2023
Moo Moo Meadows,01:18.630,11/18/2025
Mushroom Gorge,01:46.510,08/22/2024
Toad's Factory,01:54.094,04/03/2025
Mario Circuit,01:24.474,09/14/2024
Coconut Mall,02:03.061,09/19/2024
DK's Snowboard Cross,01:54.962,01/07/2026
Wario's Gold Mine,01:57.355,06/02/2025
Daisy Circuit,01:32.251,09/30/2024
Koopa Cape,02:29.350,06/01/2025
Maple Treeway,02:25.891,06/01/2025
Grumble Volcano,02:00.441,08/31/2024
Dry Dry Ruins,02:01.573,09/30/2024
Moonview Highway,01:48.709,09/09/2024
Bowser's Castle,02:27.402,08/19/2025
Rainbow Road,02:36.625,06/01/2025
GCN Peach Beach,01:15.757,09/12/2024
DS Yoshi Falls,01:01.597,07/30/2025
SNES Ghost Valley 2,00:54.305,08/19/2025
N64 Mario Raceway,01:44.116,01/28/2026
N64 Sherbet Land,02:09.234,06/25/2022
GBA Shy Guy Beach,01:25.265,09/12/2024
DS Delfino Square,02:08.958,02/14/2023
GCN Waluigi Stadium,01:57.751,09/11/2024
DS Desert Hills,01:43.758,06/25/2022
GBA Bowser Castle 3,02:21.751,02/17/2023
N64 DK's Jungle Parkway,02:19.453,02/05/2023
GCN Mario Circuit,01:34.403,09/09/2024
SNES Mario Circuit 3,01:20.265,02/04/2024
DS Peach Gardens,02:04.748,09/05/2024
GCN DK Mountain,02:13.414,08/31/2024
N64 Bowser's Castle,02:37.103,09/09/2024
