Tracks,Times,Dates
Luigi Circuit,01:10.310,07/17/2025
Moo Moo Meadows,01:18.653,07/19/2025
Mushroom Gorge,01:44.557,09/25/2025
Toad's Factory,01:54.014,10/14/2025
Mario Circuit,01:23.381,06/11/2025
Coconut Mall,02:01.510,07/18/2025
DK's Snowboard Cross,01:57.506,07/25/2025
Wario's Gold Mine,01:43.831,06/15/2025
Daisy Circuit,01:32.173,10/25/2025
Koopa Cape,02:26.100,06/10/2025
Maple Treeway,02:22.863,10/12/2025
Grumble Volcano,01:58.875,10/12/2025
Dry Dry Ruins,01:58.029,10/12/2025
Moonview Highway,01:47.263,10/09/2025
Bowser's Castle,02:27.548,08/16/2025
Rainbow Road,02:34.254,11/07/2025
GCN Peach Beach,01:15.094,10/12/2025
DS Yoshi Falls,01:01.182,10/10/2025
SNES Ghost Valley 2,00:54.233,09/23/2025
N64 Mario Raceway,01:44.508,8/23/2025
N64 Sherbet Land,02:08.431,08/17/2025
GBA Shy Guy Beach,01:24.378,06/12/2025
DS Delfino Square,02:08.634,09/15/2025
GCN Waluigi Stadium,01:56.651,07/25/2025
DS Desert Hills,01:39.266,11/07/2025
GBA Bowser Castle 3,02:09.830,08/19/2025
N64 DK's Jungle Parkway,02:17.432,10/25/2025
GCN Mario Circuit,01:34.400,10/13/2025
SNES Mario Circuit 3,01:19.905,09/12/2025
DS Peach Gardens,02:03.724,09/27/2025
GCN DK Mountain,02:12.870,06/22/2025
N64 Bowser's Castle,02:36.599,10/25/2025
