Luigi Circuit,01:12.167,06/01/2025
Moo Moo Meadows,01:19.758,03/29/2025
Mushroom Gorge,01:46.948,03/31/2025
Toad's Factory,01:54.170,04/05/2025
Mario Circuit,01:23.824,06/01/2025
Coconut Mall,02:12.931,04/04/2025
DK's Snowboard Cross,01:58.799,06/01/2025
Wario's Gold Mine,01:58.982,06/01/2025
Daisy Circuit,01:33.602,04/04/2025
Koopa Cape,02:28.998,04/04/2025
Maple Treeway,02:25.551,04/03/2025
Bowser's Castle,02:32.020,06/01/2025
Rainbow Road,02:38.489,04/03/2025
SNES Ghost Valley 2,00:55.243,06/01/2025
N64 Mario Raceway,01:49.309,6/1/2025
N64 Sherbet Land,02:12.871,04/03/2025
GBA Shy Guy Beach,01:32.058,04/04/2025
DS Delfino Square,02:09.873,04/06/2025
GCN Waluigi Stadium,01:58.917,04/03/2025
DS Desert Hills,01:44.008,04/04/2025
GBA Bowser Castle 3,02:14.252,06/02/2025
N64 DK's Jungle Parkway,02:20.364,4/5/2025
GCN Mario Circuit,01:38.347,06/01/2025
SNES Mario Circuit 3,01:23.121,06/01/2025
DS Peach Gardens,02:07.904,04/04/2025
GCN DK Mountain,02:24.200,06/01/2025
N64 Bowser's Castle,02:41.416,04/04/2025
SNES Mario Circuit 3,01:20.532,06/04/2025
GCN DK Mountain,02:13.506,06/04/2025
Coconut Mall,02:05.253,04/04/2025
N64 DK's Jungle Parkway,02:18.595,4/5/2025
Mushroom Gorge,01:46.263,03/31/2025
Coconut Mall,02:04.245,04/04/2025
Koopa Cape,02:27.826,04/04/2025
N64 Mario Raceway,01:46.412,6/1/2025
GBA Shy Guy Beach,01:25.398,04/04/2025
DS Peach Gardens,02:06.135,04/04/2025
Wario's Gold Mine,01:57.126,06/07/2025
Moonview Highway,01:48.309,06/07/2025
Bowser's Castle,02:31.163,06/01/2025
N64 Mario Raceway,01:46.292,6/7/2025
GCN Mario Circuit,01:36.795,06/07/2025
N64 Bowser's Castle,02:39.121,04/04/2025
Coconut Mall,02:03.738,06/08/2025
Bowser's Castle,02:30.240,06/06/2025
Rainbow Road,02:36.774,04/03/2025
GCN Peach Beach,01:15.750,06/08/2025
DS Yoshi Falls,01:01.805,06/08/2025
N64 Sherbet Land,02:09.235,06/08/2025
DS Yoshi Falls,01:01.731,06/08/2025
Koopa Cape,02:26.100,06/10/2025
Luigi Circuit,01:10.988,06/12/2025
Mario Circuit,01:23.381,06/11/2025
Mushroom Gorge,01:45.669,06/12/2025
Coconut Mall,02:02.197,06/12/2025
N64 Sherbet Land,02:08.804,06/12/2025
GBA Shy Guy Beach,01:24.378,06/12/2025
Wario's Gold Mine,01:43.831,06/15/2025
DS Delfino Square,02:09.732,06/15/2025
N64 Bowser's Castle,02:38.196,06/15/2025
Rainbow Road,02:35.129,06/17/2025
DS Yoshi Falls,01:01.613,06/17/2025
Mushroom Gorge,01:45.654,06/16/2025
DS Desert Hills,01:40.160,06/17/2025
GCN Peach Beach,01:15.648,06/21/2025
GCN Mario Circuit,01:35.687,06/22/2025
GCN Peach Beach,01:15.508,06/21/2025
DS Delfino Square,02:08.799,06/22/2025
DS Desert Hills,01:39.521,06/22/2025
DS Peach Gardens,02:04.726,06/22/2025
GCN DK Mountain,02:12.870,06/22/2025
DS Desert Hills,01:39.388,06/25/2025
SNES Ghost Valley 2,00:54.724,06/30/2025
SNES Ghost Valley 2,00:54.546,07/11/2025
Luigi Circuit,01:10.518,07/13/2025
Luigi Circuit,01:10.310,07/17/2025
Coconut Mall,02:01.510,07/18/2025
Moo Moo Meadows,01:18.653,07/19/2025
DK's Snowboard Cross,01:57.506,07/25/2025
Rainbow Road,02:34.970,07/25/2025
GCN Waluigi Stadium,01:56.651,07/25/2025
Daisy Circuit,01:32.667,08/01/2025
Maple Treeway,02:25.332,08/01/2025
N64 Bowser's Castle,02:37.133,08/03/2025
GCN Mario Circuit,01:35.652,08/03/2025
SNES Mario Circuit 3,01:20.299,08/03/2025
GCN Mario Circuit,01:35.303,08/05/2025
GBA Bowser Castle 3,02:11.503,08/07/2025
N64 DK's Jungle Parkway,02:18.571,8/10/2025
Bowser's Castle,02:28.565,08/15/2025
N64 DK's Jungle Parkway,02:17.954,8/15/2025
Bowser's Castle,02:28.210,08/16/2025
Bowser's Castle,02:27.548,08/16/2025
N64 Sherbet Land,02:08.431,08/17/2025
GBA Bowser Castle 3,02:09.830,08/19/2025
N64 Mario Raceway,01:44.765,8/23/2025
GCN Mario Circuit,01:35.288,09/10/2025
SNES Mario Circuit 3,01:19.905,09/12/2025
GCN Mario Circuit,01:35.023,09/13/2025
DS Delfino Square,02:08.635,09/14/2025
Mushroom Gorge,01:44.779,09/15/2025
DS Delfino Square,02:08.634,09/15/2025
