Tracks,Times,Dates
Luigi Circuit,01:19.768,06/03/2025
Moo Moo Meadows,01:26.165,06/03/2025
Mushroom Gorge,01:53.656,06/03/2025
Toad's Factory,02:06.082,06/03/2025
Mario Circuit,01:31.367,06/04/2025
Coconut Mall,02:09.156,06/04/2025
DK's Snowboard Cross,02:06.532,06/04/2025
Wario's Gold Mine,02:03.658,06/04/2025
Daisy Circuit,09:59.999,06/01/2025
Koopa Cape,09:59.999,06/01/2025
Maple Treeway,09:59.999,06/01/2025
Grumble Volcano,09:59.999,06/01/2025
Dry Dry Ruins,09:59.999,06/01/2025
Moonview Highway,09:59.999,06/01/2025
Bowser's Castle,09:59.999,06/01/2025
Rainbow Road,09:59.999,06/01/2025
GCN Peach Beach,09:59.999,06/01/2025
DS Yoshi Falls,09:59.999,06/01/2025
SNES Ghost Valley 2,09:59.999,06/01/2025
N64 Mario Raceway,09:59.999,06/01/2025
N64 Sherbet Land,09:59.999,06/01/2025
GBA Shy Guy Beach,09:59.999,06/01/2025
DS Delfino Square,09:59.999,06/01/2025
GCN Waluigi Stadium,09:59.999,06/01/2025
DS Desert Hills,09:59.999,06/01/2025
GBA Bowser Castle 3,09:59.999,06/01/2025
N64 DK's Jungle Parkway,09:59.999,06/01/2025
GCN Mario Circuit,09:59.999,06/01/2025
SNES Mario Circuit 3,09:59.999,06/01/2025
DS Peach Gardens,09:59.999,06/01/2025
GCN DK Mountain,09:59.999,06/01/2025
N64 Bowser's Castle,09:59.999,06/01/2025
