Luigi Circuit,01:11.947,06/01/2025
Moo Moo Meadows,01:26.107,06/01/2025
Mushroom Gorge,01:46.577,06/01/2025
Toad's Factory,02:10.383,06/01/2025
Mario Circuit,01:28.395,06/01/2025
Coconut Mall,02:04.900,06/01/2025
DK's Snowboard Cross,01:57.873,06/01/2025
Wario's Gold Mine,02:02.591,06/01/2025
Daisy Circuit,01:34.156,06/01/2025
Koopa Cape,02:32.146,06/01/2025
Maple Treeway,02:27.114,06/01/2025
Grumble Volcano,01:50.750,06/01/2025
Dry Dry Ruins,02:01.908,06/01/2025
Moonview Highway,01:57.198,06/01/2025
Bowser's Castle,02:31.562,06/01/2025
Rainbow Road,02:36.586,06/01/2025
GCN Peach Beach,01:18.019,06/01/2025
DS Yoshi Falls,01:02.648,06/01/2025
SNES Ghost Valley 2,00:55.797,06/01/2025
N64 Mario Raceway,01:46.704,06/01/2025
N64 Sherbet Land,02:17.314,06/01/2025
GBA Shy Guy Beach,01:33.090,06/01/2025
DS Delfino Square,02:09.519,06/01/2025
GCN Waluigi Stadium,01:58.587,06/01/2025
DS Desert Hills,01:44.683,06/01/2025
GBA Bowser Castle 3,02:14.812,06/01/2025
N64 DK's Jungle Parkway,02:19.510,06/01/2025
GCN Mario Circuit,01:36.914,06/01/2025
SNES Mario Circuit 3,01:20.900,06/01/2025
DS Peach Gardens,02:07.328,06/01/2025
GCN DK Mountain,02:13.497,06/01/2025
N64 Bowser's Castle,02:42.728,06/01/2025
N64 Sherbet Land,02:10.286,06/10/2025
GBA Shy Guy Beach,01:24.798,06/10/2025
Moo Moo Meadows,01:19.641,06/15/2025
Coconut Mall,02:03.596,06/15/2025
Grumble Volcano,00:28.534,06/15/2025
Dry Dry Ruins,01:59.481,06/17/2025
Dry Dry Ruins,01:59.420,06/22/2025
GCN Peach Beach,01:16.937,06/22/2025
DS Desert Hills,01:39.232,06/22/2025
N64 DK's Jungle Parkway,02:17.842,06/22/2025
SNES Ghost Valley 2,00:55.548,06/29/2025
DS Desert Hills,01:39.162,06/29/2025
Coconut Mall,01:19.463,07/02/2025
GBA Shy Guy Beach,01:24.403,07/03/2025
GBA Shy Guy Beach,01:24.322,07/05/2025
Maple Treeway,02:25.718,07/11/2025
Maple Treeway,02:25.443,07/18/2025
DS Desert Hills,01:38.992,07/18/2025
DS Desert Hills,01:38.838,11/08/2025
