Tracks x Players,Demitri,Pat,Chris,Joe,Shane,Mike,Kevin,Matt,Jason,Karla,Callum,John,Danny,Henry
Luigi Circuit,40,49,50,18,0,19,34,0,0,3,0,0,2,1
Moo Moo Meadows,127,142,130,40,3,42,115,1,1,6,1,1,4,1
Mushroom Gorge,147,155,140,47,3,64,124,0,0,7,1,1,8,1
Toad's Factory,155,163,157,44,4,50,137,0,0,6,0,1,3,1
Mario Circuit,34,39,40,13,0,14,30,0,0,0,1,0,1,1
Coconut Mall,132,131,136,36,4,36,123,1,0,7,0,0,3,1
DK Summit,181,192,181,55,2,50,156,0,0,8,0,1,6,1
Wario's Gold Mine,78,92,84,30,0,28,71,0,0,3,0,0,3,1
Daisy Circuit,131,139,134,39,3,39,123,1,0,6,1,1,4,1
Koopa Cape,158,165,152,46,4,40,135,1,0,10,0,1,8,1
Maple Treeway,194,204,185,57,2,46,170,0,1,8,0,1,4,1
Grumble Volcano,145,146,147,31,3,49,127,0,0,3,0,1,3,1
Dry Dry Ruins,95,111,103,33,2,38,86,1,0,5,1,1,5,1
Moonview Highway,58,65,62,26,0,36,47,0,0,3,0,0,1,1
Bowser's Castle,178,186,168,53,1,41,156,0,1,8,0,1,4,1
Rainbow Road,163,167,159,43,3,39,141,0,0,2,0,0,5,1
GCN Peach Beach,90,89,77,28,1,27,68,0,0,2,1,0,1,1
DS Yoshi Falls,33,39,42,17,1,18,28,0,0,2,0,0,1,1
SNES Ghost Valley 2,88,98,90,18,1,31,81,0,0,3,0,0,2,1
N64 Mario Raceway,185,202,194,53,4,54,165,1,0,8,1,1,3,1
N64 Sherbet Land,112,117,120,39,2,27,91,0,0,5,0,0,2,1
GBA Shy Guy Beach,33,46,44,26,0,14,32,0,0,1,0,0,0,1
DS Delfino Square,191,197,185,49,3,57,164,1,0,8,0,1,6,1
GCN Waluigi Stadium,139,154,148,42,2,46,132,0,0,6,1,1,2,1
DS Desert Hills,90,95,89,29,1,26,74,0,0,4,0,0,4,1
GBA Bowser's Castle 3,196,199,181,50,3,58,162,0,0,5,0,1,4,1
N64 DK's Jungle Parkway,139,146,142,32,3,37,127,1,0,7,0,0,5,1
GCN Mario Circuit,121,139,120,39,3,42,116,0,0,2,0,1,6,1
SNES Mario Circuit 3,115,131,113,29,1,45,100,0,0,3,0,0,2,1
DS Peach Gardens,126,136,122,41,1,32,121,0,0,5,0,0,1,1
GCN DK Mountain,91,104,92,21,0,34,84,0,0,5,0,1,3,1
N64 Bowser's Castle,168,174,155,41,1,43,150,0,1,7,0,0,6,1
Lava Lake,85,89,88,17,0,21,82,0,0,2,0,1,0,0
Stargaze Summit,2,6,4,3,1,3,3,0,0,0,0,1,0,0
Envenom Snowstorm,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Dragon Burial Grounds,2,4,3,1,0,1,3,0,0,0,0,1,0,0
Bowser Jr.'s Crafty Castle,2,2,1,0,0,0,2,0,0,0,0,0,0,0
N64 Royal Raceway,2,3,2,0,0,0,3,0,0,0,0,1,0,0
DS Airstrip Fortress,5,8,7,3,1,4,5,0,0,0,0,1,0,0
DK Ruins,2,4,3,1,0,1,3,0,0,0,0,1,0,0
DS Bowser's Castle,0,2,2,1,0,1,1,0,0,0,0,1,0,0
Wolf Castlegrounds,0,1,1,0,0,0,1,0,0,0,0,1,0,0
