Tracks x Players,Demitri,Pat,Chris,Joe,Shane,Mike,Kevin,Matt,Jason,Karla,Callum,John,Danny,Henry
Luigi Circuit,485,562,512,154,0,172,400,0,0,23,0,0,14,10
Moo Moo Meadows,1472,1695,1489,333,33,421,1368,12,7,42,8,7,32,8
Mushroom Gorge,1719,1864,1558,333,24,570,1478,0,0,64,0,5,60,5
Toad's Factory,1759,1973,1680,358,45,472,1709,0,0,48,0,4,15,8
Mario Circuit,389,485,406,107,0,138,363,0,0,0,5,0,8,8
Coconut Mall,1517,1526,1547,283,43,318,1576,7,0,50,0,0,22,8
DK Summit,2062,2406,2022,477,8,482,1888,0,0,63,0,8,47,8
Wario's Gold Mine,896,1097,880,224,0,238,839,0,0,0,0,0,11,1
Daisy Circuit,1530,1664,1494,310,33,334,1516,8,0,48,5,10,26,8
Koopa Cape,1878,1956,1719,346,40,394,1623,8,0,74,0,15,52,6
Maple Treeway,2304,2406,2082,427,17,401,2081,0,8,57,0,10,30,8
Grumble Volcano,1738,1668,1613,215,22,440,1513,0,0,9,0,12,14,0
Dry Dry Ruins,1138,1364,1140,273,27,332,1009,6,0,43,3,8,15,7
Moonview Highway,704,778,661,203,0,354,595,0,0,24,0,0,8,6
Bowser's Castle,2071,2126,1919,366,10,358,1943,0,0,40,0,10,16,8
Rainbow Road,1930,1984,1760,252,5,342,1722,0,0,2,0,0,32,5
GCN Peach Beach,1101,988,784,204,12,212,814,0,0,10,8,0,1,8
DS Yoshi Falls,380,444,496,138,6,186,324,0,0,20,0,0,8,8
SNES Ghost Valley 2,1066,1134,937,97,10,260,996,0,0,16,0,0,0,10
N64 Mario Raceway,2154,2384,2221,393,34,495,1999,12,0,50,8,10,13,8
N64 Sherbet Land,1272,1479,1305,330,14,241,1148,0,0,33,0,0,14,8
GBA Shy Guy Beach,362,527,473,209,0,116,419,0,0,4,0,0,0,10
DS Delfino Square,2257,2427,2054,368,33,548,1991,8,0,59,0,10,40,8
GCN Waluigi Stadium,1626,1887,1663,351,16,439,1592,0,0,47,8,8,12,10
DS Desert Hills,1046,1113,984,248,12,238,907,0,0,29,0,0,32,8
GBA Bowser's Castle 3,2241,2406,1941,353,28,546,2019,0,0,34,0,10,36,3
N64 DK's Jungle Parkway,1620,1766,1591,201,29,333,1544,8,0,46,0,0,27,8
GCN Mario Circuit,1376,1686,1347,295,27,417,1421,0,0,16,0,8,37,7
SNES Mario Circuit 3,1332,1592,1222,208,8,400,1210,0,0,14,0,0,14,8
DS Peach Gardens,1500,1605,1386,317,8,298,1481,0,0,32,0,0,8,0
GCN DK Mountain,1051,1312,1013,167,0,272,1046,0,0,39,0,12,24,8
N64 Bowser's Castle,2049,2002,1703,311,8,370,1851,0,6,48,0,0,29,8
Lava Lake,965,1047,982,112,0,192,1003,0,0,16,0,10,0,0
Stargaze Summit,25,74,49,27,8,25,30,0,0,0,0,8,0,0
Envenom Snowstorm,10,12,15,0,0,0,8,0,0,0,0,0,0,0
Dragon Burial Grounds,12,54,32,2,0,10,35,0,0,0,0,8,0,0
Bowser Jr.'s Crafty Castle,18,25,12,0,0,0,27,0,0,0,0,0,0,0
N64 Royal Raceway,27,40,18,0,0,0,34,0,0,0,0,8,0,0
DS Airstrip Fortress,61,103,76,28,8,38,67,0,0,0,0,8,0,0
DK Ruins,18,54,26,8,0,12,40,0,0,0,0,8,0,0
DS Bowser's Castle,0,30,18,12,0,10,12,0,0,0,0,8,0,0
Wolf Castlegrounds,0,12,8,0,0,0,10,0,0,0,0,15,0,0
