Tracks x Players,Demitri,Pat,Chris,Joe,Shane,Mike,Kevin,Matt,Jason,Karla,Callum,John,Danny,Henry
Luigi Circuit,5,6,6,2,0,7,3,0,0,0,0,0,2,1
Moo Moo Meadows,19,22,19,12,1,16,6,0,0,0,0,0,4,1
Mushroom Gorge,25,27,20,10,0,22,5,0,0,1,0,0,8,1
Toad's Factory,18,19,16,9,2,14,5,0,0,0,0,0,3,1
Mario Circuit,7,6,6,0,0,6,1,0,0,0,0,0,1,1
Coconut Mall,15,14,13,7,1,14,4,0,0,0,0,0,3,1
DK Summit,23,27,18,13,0,16,6,0,0,1,0,0,6,1
Wario's Gold Mine,13,16,13,10,0,9,2,0,0,0,0,0,3,1
Daisy Circuit,19,19,17,12,1,14,5,0,0,0,0,0,4,1
Koopa Cape,21,23,16,10,1,14,4,0,0,1,0,0,8,1
Maple Treeway,22,25,20,15,1,17,6,0,0,0,0,0,4,1
Grumble Volcano,21,23,19,9,1,17,5,0,0,0,0,0,3,1
Dry Dry Ruins,16,20,16,9,0,15,4,0,0,1,0,0,5,1
Moonview Highway,15,17,15,8,0,15,4,0,0,0,0,0,1,1
Bowser's Castle,25,28,20,14,1,19,6,0,0,1,0,0,4,1
Rainbow Road,21,20,17,9,0,14,5,0,0,0,0,0,5,1
GCN Peach Beach,7,7,5,2,1,6,2,0,0,0,0,0,1,1
DS Yoshi Falls,7,7,6,2,0,6,2,0,0,0,0,0,1,1
SNES Ghost Valley 2,13,13,12,5,1,10,2,0,0,0,0,0,2,1
N64 Mario Raceway,21,25,20,13,1,18,5,0,0,0,0,0,3,1
N64 Sherbet Land,14,16,14,9,1,8,2,0,0,1,0,0,2,1
GBA Shy Guy Beach,6,8,7,5,0,7,2,0,0,0,0,0,0,1
DS Delfino Square,25,30,23,14,1,21,6,0,0,0,0,0,6,1
GCN Waluigi Stadium,21,23,20,14,0,17,6,0,0,0,0,0,2,1
DS Desert Hills,15,17,14,12,1,9,3,0,0,0,0,0,4,1
GBA Bowser's Castle 3,29,31,23,13,2,21,6,0,0,0,0,0,4,1
N64 DK's Jungle Parkway,18,20,16,9,1,13,3,0,0,0,0,0,5,1
GCN Mario Circuit,20,25,15,16,2,15,4,0,0,0,0,0,6,1
SNES Mario Circuit 3,15,18,12,7,0,16,3,0,0,1,0,0,2,1
DS Peach Gardens,13,14,11,8,1,8,3,0,0,0,0,0,1,1
GCN DK Mountain,13,14,10,4,0,11,2,0,0,1,0,0,3,1
N64 Bowser's Castle,18,21,14,8,1,15,4,0,0,0,0,0,6,1
Lava Lake,4,5,6,3,0,4,2,0,0,0,0,0,0,0
Stargaze Summit,0,3,2,3,1,3,0,0,0,0,0,0,0,0
Envenom Snowstorm,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dragon Burial Grounds,0,1,1,1,0,1,0,0,0,0,0,0,0,0
Bowser Jr.'s Crafty Castle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N64 Royal Raceway,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS Airstrip Fortress,1,4,3,3,1,4,0,0,0,0,0,0,0,0
DK Ruins,0,1,1,1,0,1,0,0,0,0,0,0,0,0
DS Bowser's Castle,0,1,1,1,0,1,0,0,0,0,0,0,0,0
Wolf Castlegrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0
