Tracks x Players,Demitri,Pat,Chris,Joe,Shane,Mike,Kevin,Matt,Jason,Karla,Callum,John,Danny,Henry
Luigi Circuit,10,12,8,0,0,0,15,0,0,0,0,0,0,0
Moo Moo Meadows,10,15,12,0,0,0,8,0,0,0,0,0,0,0
Mushroom Gorge,8,12,10,0,0,0,15,0,0,0,0,0,0,0
Toad's Factory,15,10,8,0,0,0,12,0,0,0,0,0,0,0
Mario Circuit,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coconut Mall,15,10,8,0,0,0,12,0,0,0,0,0,0,0
DK Summit,25,25,16,0,0,0,24,0,0,0,0,0,0,0
Wario's Gold Mine,10,15,12,0,0,0,5,0,0,0,0,0,0,0
Daisy Circuit,15,12,10,0,0,0,8,0,0,0,0,0,0,0
Koopa Cape,8,10,15,0,0,0,12,0,0,0,0,0,0,0
Maple Treeway,16,25,24,0,0,0,25,0,0,0,0,0,0,0
Grumble Volcano,12,15,8,0,0,0,10,0,0,0,0,0,0,0
Dry Dry Ruins,10,8,15,0,0,0,12,0,0,0,0,0,0,0
Moonview Highway,8,12,10,0,0,0,15,0,0,0,0,0,0,0
Bowser's Castle,8,10,12,0,0,0,15,0,0,0,0,0,0,0
Rainbow Road,12,8,10,0,0,0,15,0,0,0,0,0,0,0
GCN Peach Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS Yoshi Falls,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNES Ghost Valley 2,8,15,12,0,0,0,10,0,0,0,0,0,0,0
N64 Mario Raceway,8,10,12,0,0,0,15,0,0,0,0,0,0,0
N64 Sherbet Land,8,10,12,0,0,0,15,0,0,0,0,0,0,0
GBA Shy Guy Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS Delfino Square,10,8,12,0,0,0,15,0,0,0,0,0,0,0
GCN Waluigi Stadium,15,10,8,0,0,0,12,0,0,0,0,0,0,0
DS Desert Hills,15,8,10,0,0,0,12,0,0,0,0,0,0,0
GBA Bowser's Castle 3,8,10,15,0,0,0,12,0,0,0,0,0,0,0
N64 DK's Jungle Parkway,15,8,10,0,0,0,12,0,0,0,0,0,0,0
GCN Mario Circuit,15,8,10,0,0,0,12,0,0,0,0,0,0,0
SNES Mario Circuit 3,10,12,8,0,0,0,15,0,0,0,0,0,0,0
DS Peach Gardens,12,10,8,0,0,0,15,0,0,0,0,0,0,0
GCN DK Mountain,10,8,15,0,0,0,12,0,0,0,0,0,0,0
N64 Bowser's Castle,18,22,23,0,0,0,27,0,0,0,0,0,0,0
Lava Lake,12,10,8,0,0,0,15,0,0,0,0,0,0,0
Stargaze Summit,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Envenom Snowstorm,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dragon Burial Grounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bowser Jr.'s Crafty Castle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N64 Royal Raceway,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS Airstrip Fortress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK Ruins,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS Bowser's Castle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolf Castlegrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0
